Time_ns,Sine_Out,Sine_Out_Normalized
4485000,25072,0.765137
4495000,23731,0.724213
4505000,22301,0.680573
4515000,20787,0.634369
4525000,19195,0.585785
4535000,17530,0.534973
4545000,15446,0.471375
4555000,13645,0.416412
4565000,11793,0.359894
4575000,9896,0.302002
4585000,7962,0.242981
4595000,5998,0.183044
4605000,4011,0.122406
4615000,2009,0.061310
4625000,0,0.000000
4635000,-2009,-0.061310
4645000,-4011,-0.122406
4655000,-5998,-0.183044
4665000,-7962,-0.242981
4675000,-9896,-0.302002
4685000,-11793,-0.359894
4695000,-13645,-0.416412
4705000,-15446,-0.471375
4715000,-17530,-0.534973
4725000,-19195,-0.585785
4735000,-20787,-0.634369
4745000,-22301,-0.680573
4755000,-23731,-0.724213
4765000,-25072,-0.765137
4775000,-26319,-0.803192
4785000,-27466,-0.838196
4795000,-28706,-0.876038
4805000,-29621,-0.903961
4815000,-30424,-0.928467
4825000,-31113,-0.949493
4835000,-31685,-0.966949
4845000,-32137,-0.980743
4855000,-32469,-0.990875
4865000,-32678,-0.997253
4875000,-32765,-0.999908
4885000,-32678,-0.997253
4895000,-32469,-0.990875
4905000,-32137,-0.980743
4915000,-31685,-0.966949
4925000,-31113,-0.949493
4935000,-30424,-0.928467
4945000,-29621,-0.903961
4955000,-28706,-0.876038
4965000,-27466,-0.838196
4975000,-26319,-0.803192
4985000,-25072,-0.765137
4995000,-23731,-0.724213
5005000,-22301,-0.680573
5015000,-20787,-0.634369
5025000,-19195,-0.585785
5035000,-17530,-0.534973
5045000,-15446,-0.471375
5055000,-13645,-0.416412
5065000,-11793,-0.359894
5075000,-9896,-0.302002
5085000,-7962,-0.242981
5095000,-5998,-0.183044
5105000,-4011,-0.122406
5115000,-2009,-0.061310
5125000,0,0.000000
5135000,2009,0.061310
5145000,4011,0.122406
5155000,5998,0.183044
5165000,7962,0.242981
5175000,9896,0.302002
5185000,11793,0.359894
5195000,13645,0.416412
5205000,15446,0.471375
5215000,17530,0.534973
5225000,19195,0.585785
5235000,20787,0.634369
5245000,22301,0.680573
5255000,23731,0.724213
5265000,25072,0.765137
5275000,26319,0.803192
5285000,27466,0.838196
5295000,28706,0.876038
5305000,29621,0.903961
5315000,30424,0.928467
5325000,31113,0.949493
5335000,31685,0.966949
5345000,32137,0.980743
5355000,32469,0.990875
5365000,32678,0.997253
5375000,32765,0.999908
5385000,32678,0.997253
5395000,32469,0.990875
5405000,32137,0.980743
5415000,31685,0.966949
5425000,31113,0.949493
5435000,30424,0.928467
5445000,29621,0.903961
5455000,28706,0.876038
5465000,27466,0.838196
5475000,26319,0.803192
5485000,25072,0.765137
5495000,23731,0.724213
5505000,22301,0.680573
5515000,20787,0.634369
5525000,19195,0.585785
5535000,17530,0.534973
5545000,15446,0.471375
5555000,13645,0.416412
5565000,11793,0.359894
5575000,9896,0.302002
5585000,7962,0.242981
5595000,5998,0.183044
5605000,4011,0.122406
5615000,2009,0.061310
5625000,0,0.000000
5635000,-2009,-0.061310
5645000,-4011,-0.122406
5655000,-5998,-0.183044
5665000,-7962,-0.242981
5675000,-9896,-0.302002
5685000,-11793,-0.359894
5695000,-13645,-0.416412
5705000,-15446,-0.471375
5715000,-17530,-0.534973
5725000,-19195,-0.585785
5735000,-20787,-0.634369
5745000,-22301,-0.680573
5755000,-23731,-0.724213
5765000,-25072,-0.765137
5775000,-26319,-0.803192
5785000,-27466,-0.838196
5795000,-28706,-0.876038
5805000,-29621,-0.903961
5815000,-30424,-0.928467
5825000,-31113,-0.949493
5835000,-31685,-0.966949
5845000,-32137,-0.980743
5855000,-32469,-0.990875
5865000,-32678,-0.997253
